genome,A_V,B_V,c_V,V_with_c,V_two_cats,V_one_cat
GB_GCA_002503825.1,3.0,3.0,3.0,3.0,3.0,3.0
GB_GCA_002503845.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002503885.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002503985.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002504405.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002504435.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002504495.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002504525.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002504725.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002504845.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002504905.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002505185.1,2.0,1.0,1.0,1.0,1.0,2.0
GB_GCA_002505345.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002505355.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002505405.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002505455.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002505485.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002505495.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002505525.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002505645.1,1.0,2.0,1.0,1.0,1.0,2.0
GB_GCA_002505685.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002505695.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002505765.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002505775.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002505805.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002505935.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506015.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506025.1,0.0,1.0,1.0,0.0,0.0,1.0
GB_GCA_002506085.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506105.1,3.0,3.0,2.0,2.0,3.0,3.0
GB_GCA_002506275.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002506335.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_002506365.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506425.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506485.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506515.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506535.1,2.0,2.0,3.0,2.0,2.0,2.0
GB_GCA_002506585.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506595.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506605.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506645.1,2.0,1.0,0.0,0.0,1.0,2.0
GB_GCA_002506665.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_002506705.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002506745.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506755.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506825.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002506875.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_002506905.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002507085.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002507125.1,1.0,2.0,1.0,1.0,1.0,2.0
GB_GCA_002507175.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002507425.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002507545.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002508315.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002508425.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002508545.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002508705.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002509165.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002509225.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002509325.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_002509405.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002509485.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002509495.1,3.0,2.0,3.0,2.0,2.0,3.0
GB_GCA_002509745.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002633315.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002683155.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002683195.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002685315.1,1.0,2.0,2.0,1.0,1.0,2.0
GB_GCA_002685415.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002685895.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002686315.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_002686365.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002686445.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002686525.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002686855.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002687015.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002687075.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002687175.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002687735.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002687795.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002687935.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002688185.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002688315.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002688775.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002688825.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002688925.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002689345.1,1.0,2.0,1.0,1.0,1.0,2.0
GB_GCA_002689565.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002690325.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002691025.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002691095.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002691385.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002692465.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002694525.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002694585.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002696315.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002697105.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002697705.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002698145.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002698225.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002698885.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002699105.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002699125.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002699185.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002699425.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002699515.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002701145.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002701365.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002701965.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002702655.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002702685.1,1.0,0.0,0.0,0.0,0.0,1.0
GB_GCA_002702945.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002702985.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002704515.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002706025.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002706065.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002706615.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002707335.2,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002707365.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002707655.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002707765.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002708015.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002708385.1,0.0,1.0,0.0,0.0,0.0,1.0
GB_GCA_002708695.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002709285.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002709385.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002709505.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002709705.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002710015.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002710205.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002712105.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002712285.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002712565.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002712575.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_002712645.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002713185.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002713205.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002713215.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002713325.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002713585.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002714305.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002714745.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002715445.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002715545.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002715725.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002716085.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002717505.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002717835.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002718195.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002718215.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002718695.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002718715.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002718995.2,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002719395.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002719475.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002719615.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002719635.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002719815.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002719955.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002720055.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002720095.2,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002720115.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002720275.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002721085.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002721365.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002722135.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002722315.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002722595.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002722615.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002722695.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002722735.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002723045.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002723385.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002723635.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002724775.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002724815.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002725275.1,1.0,2.0,1.0,1.0,1.0,2.0
GB_GCA_002725315.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002725475.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002725955.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002726085.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002726275.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002726395.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002726495.1,0.0,1.0,0.0,0.0,0.0,1.0
GB_GCA_002726535.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002726845.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002726865.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002727275.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002727515.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002727675.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002728035.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002728275.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002728565.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002729095.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002729885.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002730095.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002730325.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002730445.1,0.0,1.0,0.0,0.0,0.0,1.0
GB_GCA_002730775.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002730875.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002731195.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002731395.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002731735.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002731805.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002731905.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002733885.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002733995.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002737445.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002737455.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002746185.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002747135.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002747745.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002747825.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002748065.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002748225.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002748425.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002748665.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002748705.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002748755.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002749205.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002753095.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002753135.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002753185.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002753225.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002753255.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002753305.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002753465.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002753505.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002762705.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002762785.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002762975.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_002762985.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002771475.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002772325.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_002772545.1,2.0,1.0,1.0,1.0,1.0,2.0
GB_GCA_002772605.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002772745.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002772815.1,0.0,1.0,1.0,0.0,0.0,1.0
GB_GCA_002773495.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002773545.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002773695.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002773795.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002773835.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002773845.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002773855.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002773975.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002774355.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_002774365.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_002774425.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002774445.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002778455.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002779055.1,0.0,1.0,0.0,0.0,0.0,1.0
GB_GCA_002779065.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002779455.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002780705.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002780805.1,2.0,2.0,0.0,0.0,2.0,2.0
GB_GCA_002781805.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002782675.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_002783265.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002783405.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002783585.1,2.0,2.0,0.0,0.0,2.0,2.0
GB_GCA_002784045.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002786175.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002786225.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002787035.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002787175.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002788135.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002788515.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002791075.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002792135.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002792495.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002792915.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002794035.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002796135.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002796835.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002825465.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_002825515.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002825535.1,1.0,2.0,1.0,1.0,1.0,2.0
GB_GCA_002835825.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002838935.1,2.0,1.0,2.0,1.0,1.0,2.0
GB_GCA_002839095.1,1.0,0.0,1.0,0.0,0.0,1.0
GB_GCA_002839125.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002839155.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002839185.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002839205.1,0.0,1.0,0.0,0.0,0.0,1.0
GB_GCA_002839245.1,3.0,2.0,2.0,2.0,2.0,3.0
GB_GCA_002839315.1,2.0,2.0,1.0,1.0,2.0,2.0
GB_GCA_002839335.1,2.0,2.0,0.0,0.0,2.0,2.0
GB_GCA_002839355.1,2.0,2.0,0.0,0.0,2.0,2.0
GB_GCA_002839375.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002839435.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002839445.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002839495.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002839505.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002839545.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002839575.1,0.0,1.0,0.0,0.0,0.0,1.0
GB_GCA_002839605.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002839645.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002839675.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002839705.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002840095.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002840165.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002840275.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002840285.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002840435.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002840535.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002840555.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002840565.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002840635.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002840645.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002840715.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002840895.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002841105.1,1.0,0.0,2.0,0.0,0.0,1.0
GB_GCA_002841275.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002841295.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002841355.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002841375.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002841395.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002841405.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002841435.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002841495.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002841545.1,2.0,2.0,2.0,2.0,2.0,2.0
GB_GCA_002841625.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002841685.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002841695.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002841825.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002841905.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002841975.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002841995.1,0.0,1.0,0.0,0.0,0.0,1.0
GB_GCA_002842035.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002842465.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002842515.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002842655.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002842695.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002843005.1,0.0,1.0,0.0,0.0,0.0,1.0
GB_GCA_002843155.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002849045.2,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002855745.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002861535.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002862125.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002862325.1,0.0,0.0,1.0,0.0,0.0,0.0
GB_GCA_002867475.1,2.0,1.0,0.0,0.0,1.0,2.0
GB_GCA_002868845.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002868855.1,2.0,1.0,1.0,1.0,1.0,2.0
GB_GCA_002868905.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002868925.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002868945.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002868955.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002869065.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002869225.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002869305.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002869335.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002869405.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002869585.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002869605.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002869695.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002869725.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002877855.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002877915.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002877955.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002878135.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002878315.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002878375.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002890585.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002897955.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002898075.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002898355.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002898395.1,1.0,1.0,0.0,0.0,1.0,1.0
GB_GCA_002898935.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002899805.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002900535.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002900555.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002923215.1,1.0,1.0,2.0,1.0,1.0,1.0
GB_GCA_002926195.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002928495.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002928965.1,1.0,1.0,1.0,1.0,1.0,1.0
GB_GCA_002929135.1,1.0,1.0,0.0,0.0,1.0,1.0
